sleeper_id,sleeper_name,yahoo_id,yahoo_name,espn_id,espn_name,cbs_id,cbs_name,hashtag_id,hashtag_name,fantrax_id,fantrax_name,nba_id
2578,Gradey Dick,10101,Gradey Dick,5106258,Gradey Dick,28953152,Gradey Dick,111209,Gradey Dick,'06cc2,Gradey Dick,1641711
1792,Dillon Brooks,5858,Dillon Brooks,3155526,Dillon Brooks,2157680,Dillon Brooks,13786,Dillon Brooks,'04ex8,Dillon Brooks,1628415
1178,Brook Lopez,4472,Brook Lopez,3448,Brook Lopez,1622544,Brook Lopez,9118,Brook Lopez,'005ki,Brook Lopez,201572
1798,Lonzo Ball,5764,Lonzo Ball,4066421,Lonzo Ball,2268586,Lonzo Ball,13728,Lonzo Ball,'049ka,Lonzo Ball,1628366
1941,Kevin Huerter,6030,Kevin Huerter,4066372,Kevin Huerter,2268227,Kevin Huerter,15216,Kevin Huerter,'04qrw,Kevin Huerter,1628989
1772,Markelle Fultz,5763,Markelle Fultz,4066636,Markelle Fultz,2355436,Markelle Fultz,13729,Markelle Fultz,'049s6,Markelle Fultz,1628365
1887,Mitchell Robinson,6047,Mitchell Robinson,4351852,Mitchell Robinson,2893469,Mitchell Robinson,15282,Mitchell Robinson,'04qsd,Mitchell Robinson,1629011
1357,Gordon Hayward,4724,Gordon Hayward,4249,Gordon Hayward,1755182,Gordon Hayward,9506,Gordon Hayward,'01uz7,Gordon Hayward,
2029,P.J. Washington,6174,P.J. Washington,4278078,P.J. Washington,2892549,PJ Washington,17273,P.J. Washington,'051os,P.J. Washington,1629023
2580,Keyonte George,10100,Keyonte George,4433627,Keyonte George,28951907,Keyonte George,111212,Keyonte George,'06cby,Keyonte George,1641718
1534,Jordan Clarkson,5357,Jordan Clarkson,2528426,Jordan Clarkson,2135523,Jordan Clarkson,9283,Jordan Clarkson,'03byk,Jordan Clarkson,203903
2451,Jeremy Sochan,6699,Jeremy Sochan,4610139,Jeremy Sochan,26776481,Jeremy Sochan,38938,Jeremy Sochan,'06218,Jeremy Sochan,1631110
1092,Harrison Barnes,5013,Harrison Barnes,6578,Harrison Barnes,1992781,Harrison Barnes,9220,Harrison Barnes,'02nf7,Harrison Barnes,203084
2565,Bilal Coulibaly,10099,Bilal Coulibaly,5104155,Bilal Coulibaly,29113033,Bilal Coulibaly,109467,Bilal Coulibaly,'06cc1,Bilal Coulibaly,1641731
1522,Bojan Bogdanović,4913,Bojan Bogdanovic,3593,Bojan Bogdanovic,1831131,Bojan Bogdanovic,9114,Bojan Bogdanovic,'027pg,Bojan Bogdanovic,
2157,Immanuel Quickley,6417,Immanuel Quickley,4395724,Immanuel Quickley,3041396,Immanuel Quickley,27724,Immanuel Quickley,'05qu9,Immanuel Quickley,1630193
1909,Bruce Brown,6053,Bruce Brown,4065670,Bruce Brown,2938116,Bruce Brown,15287,Bruce Brown,'04qsj,Bruce Brown,1628971
1200,Mike Conley,4246,Mike Conley,3195,Mike Conley,1231861,Mike Conley,9296,Mike Conley,'0015e,Mike Conley,201144
2181,Deni Avdija,6401,Deni Avdija,4683021,Deni Avdija,3149254,Deni Avdija,27454,Deni Avdija,'05qtj,Deni Avdija,1630166
1322,Kyle Lowry,4152,Kyle Lowry,3012,Kyle Lowry,1113164,Kyle Lowry,9490,Kyle Lowry,'0015b,Kyle Lowry,200768
2582,Taylor Hendricks,10110,Taylor Hendricks,4684806,Taylor Hendricks,28955162,Taylor Hendricks,111207,Taylor Hendricks,'06cc0,Taylor Hendricks,1641707
1987,Jarred Vanderbilt,6052,Jarred Vanderbilt,4278077,Jarred Vanderbilt,2892548,Jarred Vanderbilt,15288,Jarred Vanderbilt,'04qsi,Jarred Vanderbilt,1629020
2145,Tre Jones,6433,Tre Jones,4395626,Tre Jones,3041299,Tre Jones,27679,Tre Jones,'05qtq,Tre Jones,1630200
2440,Mark Williams,6705,Mark Williams,4701232,Mark Williams,3178196,Mark Williams,38835,Mark Williams,'0621e,Mark Williams,1631109
2584,Dereck Lively II,10097,Dereck Lively II,4683688,Dereck Lively II,28951880,Dereck Lively II,109470,Dereck Lively II,'06cc8,Dereck Lively,1641726
1997,Daniel Gafford,6226,Daniel Gafford,4278049,Daniel Gafford,2892001,Daniel Gafford,17259,Daniel Gafford,'051pi,Daniel Gafford,1629655
2476,Shaedon Sharpe,6697,Shaedon Sharpe,4914336,Shaedon Sharpe,26893318,Shaedon Sharpe,38941,Shaedon Sharpe,'06216,Shaedon Sharpe,1631101
2285,Trey Murphy III,6559,Trey Murphy III,4397688,Trey Murphy III,3041735,Trey Murphy III,31046,Trey Murphy III,'05uir,Trey Murphy,1630530
